slide_id,patient_id,file_name,path,file_size,read_ok,features_shape,coords_shape,coords_key,n_patches,feature_dim,has_coords,error
TCGA-3M-AB46-01Z-00-DX1.70F638A0-BDCB-4BDE-BBFE-6D78A1A08C5B,TCGA-3M-AB46,TCGA-3M-AB46-01Z-00-DX1.70F638A0-BDCB-4BDE-BBFE-6D78A1A08C5B.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-3M-AB46-01Z-00-DX1.70F638A0-BDCB-4BDE-BBFE-6D78A1A08C5B.h5,115849216,True,"[1, 18589, 1536]","[1, 18589, 2]",coords,18589,1536,True,
TCGA-3M-AB47-01Z-00-DX1.D7D70922-A91F-4798-8D6E-DFD84D145A59,TCGA-3M-AB47,TCGA-3M-AB47-01Z-00-DX1.D7D70922-A91F-4798-8D6E-DFD84D145A59.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-3M-AB47-01Z-00-DX1.D7D70922-A91F-4798-8D6E-DFD84D145A59.h5,87241720,True,"[1, 13997, 1536]","[1, 13997, 2]",coords,13997,1536,True,
TCGA-B7-5816-01Z-00-DX1.1B05F96A-D5E2-4366-A098-A861313F3461,TCGA-B7-5816,TCGA-B7-5816-01Z-00-DX1.1B05F96A-D5E2-4366-A098-A861313F3461.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-B7-5816-01Z-00-DX1.1B05F96A-D5E2-4366-A098-A861313F3461.h5,38059248,True,"[1, 6104, 1536]","[1, 6104, 2]",coords,6104,1536,True,
TCGA-BR-6452-01Z-00-DX1.aec8246e-9dce-436d-9faa-df8fa1f6e47c,TCGA-BR-6452,TCGA-BR-6452-01Z-00-DX1.aec8246e-9dce-436d-9faa-df8fa1f6e47c.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6452-01Z-00-DX1.aec8246e-9dce-436d-9faa-df8fa1f6e47c.h5,55862328,True,"[1, 8961, 1536]","[1, 8961, 2]",coords,8961,1536,True,
TCGA-BR-6453-01Z-00-DX1.2e52d64c-e34f-47a9-9e5e-8954b5ef18ca,TCGA-BR-6453,TCGA-BR-6453-01Z-00-DX1.2e52d64c-e34f-47a9-9e5e-8954b5ef18ca.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6453-01Z-00-DX1.2e52d64c-e34f-47a9-9e5e-8954b5ef18ca.h5,23768352,True,"[1, 3810, 1536]","[1, 3810, 2]",coords,3810,1536,True,
TCGA-BR-6454-01Z-00-DX1.63fb6280-2b43-49b2-960a-eb9c0e8b617c,TCGA-BR-6454,TCGA-BR-6454-01Z-00-DX1.63fb6280-2b43-49b2-960a-eb9c0e8b617c.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6454-01Z-00-DX1.63fb6280-2b43-49b2-960a-eb9c0e8b617c.h5,51904096,True,"[1, 8326, 1536]","[1, 8326, 2]",coords,8326,1536,True,
TCGA-BR-6455-01Z-00-DX1.402682fe-98b4-4381-85da-98510db17af9,TCGA-BR-6455,TCGA-BR-6455-01Z-00-DX1.402682fe-98b4-4381-85da-98510db17af9.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6455-01Z-00-DX1.402682fe-98b4-4381-85da-98510db17af9.h5,38308584,True,"[1, 6144, 1536]","[1, 6144, 2]",coords,6144,1536,True,
TCGA-BR-6456-01Z-00-DX1.2cb7b656-95e1-4f34-99e6-77a051fb79e5,TCGA-BR-6456,TCGA-BR-6456-01Z-00-DX1.2cb7b656-95e1-4f34-99e6-77a051fb79e5.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6456-01Z-00-DX1.2cb7b656-95e1-4f34-99e6-77a051fb79e5.h5,49233472,True,"[1, 7897, 1536]","[1, 7897, 2]",coords,7897,1536,True,
TCGA-BR-6457-01Z-00-DX1.387f0968-fcec-4864-86f8-9c87f658c371,TCGA-BR-6457,TCGA-BR-6457-01Z-00-DX1.387f0968-fcec-4864-86f8-9c87f658c371.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6457-01Z-00-DX1.387f0968-fcec-4864-86f8-9c87f658c371.h5,35382552,True,"[1, 5674, 1536]","[1, 5674, 2]",coords,5674,1536,True,
TCGA-BR-6458-01Z-00-DX1.e889b058-99ab-4337-84a5-60a884caad55,TCGA-BR-6458,TCGA-BR-6458-01Z-00-DX1.e889b058-99ab-4337-84a5-60a884caad55.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6458-01Z-00-DX1.e889b058-99ab-4337-84a5-60a884caad55.h5,35668896,True,"[1, 5720, 1536]","[1, 5720, 2]",coords,5720,1536,True,
TCGA-BR-6563-01Z-00-DX1.2398c0e0-47a6-4557-8e2d-3b890756900a,TCGA-BR-6563,TCGA-BR-6563-01Z-00-DX1.2398c0e0-47a6-4557-8e2d-3b890756900a.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6563-01Z-00-DX1.2398c0e0-47a6-4557-8e2d-3b890756900a.h5,38426080,True,"[1, 6163, 1536]","[1, 6163, 2]",coords,6163,1536,True,
TCGA-BR-6564-01Z-00-DX1.ad86e83f-ebfd-4eee-8bf8-7490c5f79a17,TCGA-BR-6564,TCGA-BR-6564-01Z-00-DX1.ad86e83f-ebfd-4eee-8bf8-7490c5f79a17.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6564-01Z-00-DX1.ad86e83f-ebfd-4eee-8bf8-7490c5f79a17.h5,50635832,True,"[1, 8122, 1536]","[1, 8122, 2]",coords,8122,1536,True,
TCGA-BR-6565-01Z-00-DX1.0e53f881-e0d7-4906-946a-67f612906476,TCGA-BR-6565,TCGA-BR-6565-01Z-00-DX1.0e53f881-e0d7-4906-946a-67f612906476.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6565-01Z-00-DX1.0e53f881-e0d7-4906-946a-67f612906476.h5,27356016,True,"[1, 4386, 1536]","[1, 4386, 2]",coords,4386,1536,True,
TCGA-BR-6566-01Z-00-DX1.908c1c0f-12a4-4fa8-a398-ca3b033e7496,TCGA-BR-6566,TCGA-BR-6566-01Z-00-DX1.908c1c0f-12a4-4fa8-a398-ca3b033e7496.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6566-01Z-00-DX1.908c1c0f-12a4-4fa8-a398-ca3b033e7496.h5,49705448,True,"[1, 7973, 1536]","[1, 7973, 2]",coords,7973,1536,True,
TCGA-BR-6705-01Z-00-DX1.1e145e40-56d6-4ebd-9a9b-bc5a0cbe3247,TCGA-BR-6705,TCGA-BR-6705-01Z-00-DX1.1e145e40-56d6-4ebd-9a9b-bc5a0cbe3247.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6705-01Z-00-DX1.1e145e40-56d6-4ebd-9a9b-bc5a0cbe3247.h5,53936608,True,"[1, 8652, 1536]","[1, 8652, 2]",coords,8652,1536,True,
TCGA-BR-6706-01Z-00-DX1.8627a957-8d44-47ec-9156-53ccc37b9add,TCGA-BR-6706,TCGA-BR-6706-01Z-00-DX1.8627a957-8d44-47ec-9156-53ccc37b9add.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6706-01Z-00-DX1.8627a957-8d44-47ec-9156-53ccc37b9add.h5,26690264,True,"[1, 4279, 1536]","[1, 4279, 2]",coords,4279,1536,True,
TCGA-BR-6707-01Z-00-DX1.fade928c-b514-43d8-90dd-37b505df9992,TCGA-BR-6707,TCGA-BR-6707-01Z-00-DX1.fade928c-b514-43d8-90dd-37b505df9992.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6707-01Z-00-DX1.fade928c-b514-43d8-90dd-37b505df9992.h5,46105400,True,"[1, 7395, 1536]","[1, 7395, 2]",coords,7395,1536,True,
TCGA-BR-6709-01Z-00-DX1.92df4063-8b47-4655-a010-edc385b35840,TCGA-BR-6709,TCGA-BR-6709-01Z-00-DX1.92df4063-8b47-4655-a010-edc385b35840.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6709-01Z-00-DX1.92df4063-8b47-4655-a010-edc385b35840.h5,50672840,True,"[1, 8128, 1536]","[1, 8128, 2]",coords,8128,1536,True,
TCGA-BR-6710-01Z-00-DX1.9368e11d-9000-4e84-8772-a0ee54932049,TCGA-BR-6710,TCGA-BR-6710-01Z-00-DX1.9368e11d-9000-4e84-8772-a0ee54932049.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6710-01Z-00-DX1.9368e11d-9000-4e84-8772-a0ee54932049.h5,54939552,True,"[1, 8813, 1536]","[1, 8813, 2]",coords,8813,1536,True,
TCGA-BR-6801-01Z-00-DX1.7d2aaa44-16f0-4526-87f2-6e95cdb5df3b,TCGA-BR-6801,TCGA-BR-6801-01Z-00-DX1.7d2aaa44-16f0-4526-87f2-6e95cdb5df3b.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6801-01Z-00-DX1.7d2aaa44-16f0-4526-87f2-6e95cdb5df3b.h5,28212432,True,"[1, 4523, 1536]","[1, 4523, 2]",coords,4523,1536,True,
TCGA-BR-6802-01Z-00-DX1.e171554c-05b5-4622-beb7-0abee31f5109,TCGA-BR-6802,TCGA-BR-6802-01Z-00-DX1.e171554c-05b5-4622-beb7-0abee31f5109.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-BR-6802-01Z-00-DX1.e171554c-05b5-4622-beb7-0abee31f5109.h5,47676912,True,"[1, 7647, 1536]","[1, 7647, 2]",coords,7647,1536,True,
