model,bin,mean_predicted,fraction_positive,n_total
M1_immune_sensitive,0,0.0,0.03007518796992481,289
M1_immune_sensitive,1,0.00010000000000000003,0.13333333333333333,289
M1_immune_sensitive,2,0.0005080000000000001,0.12,289
M1_immune_sensitive,3,0.015482758620689655,0.20689655172413793,289
M1_immune_sensitive,4,0.4231344827586207,0.5517241379310345,289
M1_immune_sensitive,5,0.9879285714285713,0.5714285714285714,289
M1_immune_sensitive,6,1.0,0.9565217391304348,289
M2_msi,0,0.0,0.01744186046511628,289
M2_msi,1,0.00010000000000000002,0.1111111111111111,289
M2_msi,2,0.0003523809523809524,0.23809523809523808,289
M2_msi,3,0.025582758620689653,0.1724137931034483,289
M2_msi,4,0.6739655172413791,0.3793103448275862,289
M2_msi,5,0.9998068965517241,0.7586206896551724,289
M3_ebv,0,0.0,0.048034934497816595,289
M3_ebv,1,0.00010000000000000002,0.1,289
M3_ebv,2,0.0006428571428571428,0.0,289
M3_ebv,3,0.31776896551724143,0.4827586206896552,289
M5_clinical,0,0.1404241379310345,0.13793103448275862,289
M5_clinical,1,0.31727241379310334,0.06896551724137931,289
M5_clinical,2,0.3958068965517241,0.13793103448275862,289
M5_clinical,3,0.4491793103448276,0.1724137931034483,289
M5_clinical,4,0.477496551724138,0.5172413793103449,289
M5_clinical,5,0.5005321428571429,0.25,289
M5_clinical,6,0.5255620689655174,0.3448275862068966,289
M5_clinical,7,0.56215,0.1,289
M5_clinical,8,0.6230071428571431,0.42857142857142855,289
M5_clinical,9,0.7495551724137933,0.3793103448275862,289
