model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,tp,fp,n
M1_immune_sensitive,0.01,0.21320471147460768,0.24504561182761872,0.0,62,38,289
M1_immune_sensitive,0.02,0.21199067862439094,0.2373419956217781,0.0,62,36,289
M1_immune_sensitive,0.03,0.2076481289908322,0.22947954196839437,0.0,61,32,289
M1_immune_sensitive,0.04,0.19982698961937714,0.2214532871972318,0.0,59,30,289
M1_immune_sensitive,0.05,0.19887087962119832,0.2132580586414132,0.0,59,29,289
M1_immune_sensitive,0.06,0.19774718397997496,0.20488846352057719,0.0,59,29,289
M1_immune_sensitive,0.07,0.19659932284109088,0.19633887710681994,0.0,59,29,289
M1_immune_sensitive,0.08,0.19226718820520536,0.1876034301188506,0.0,58,28,289
M1_immune_sensitive,0.09,0.19179436480474543,0.1786759952849918,0.0,58,26,289
M1_immune_sensitive,0.1,0.19108035371011148,0.1695501730103806,0.0,58,25,289
M1_immune_sensitive,0.11,0.1900003887873722,0.16021927607791298,0.0,58,25,289
M1_immune_sensitive,0.12,0.1888958792072979,0.15067631330607106,0.0,58,25,289
M1_immune_sensitive,0.13,0.1877659786023943,0.14091397207970408,0.0,58,25,289
M1_immune_sensitive,0.14,0.1871730908505673,0.1309245996620262,0.0,58,24,289
M1_immune_sensitive,0.15,0.1860370445756157,0.12070018318746181,0.0,58,24,289
M1_immune_sensitive,0.16,0.1855330367441094,0.11023232822540777,0.0,58,23,289
M1_immune_sensitive,0.17,0.18093133780797932,0.09951223579438859,0.0,57,23,289
M1_immune_sensitive,0.18,0.17976200523250907,0.08853067769432019,0.0,57,23,289
M1_immune_sensitive,0.19,0.18018710752274766,0.07727797001153403,0.0,57,21,289
M1_immune_sensitive,0.2,0.17993079584775085,0.06574394463667818,0.0,57,20,289
M1_immune_sensitive,0.21,0.17883579343874556,0.05391791861942097,0.0,57,20,289
M1_immune_sensitive,0.22,0.17771271404489397,0.041788661165823776,0.0,57,20,289
M1_immune_sensitive,0.23,0.17656046375769557,0.029344358064081227,0.0,57,20,289
M1_immune_sensitive,0.24,0.1753778910945183,0.016572573301766508,0.0,57,20,289
M1_immune_sensitive,0.25,0.17416378316032294,0.003460207612456745,0.0,57,20,289
M1_immune_sensitive,0.26,0.17291686149817637,-0.01000654633872633,0.0,57,20,289
M1_immune_sensitive,0.27,0.1716357775987107,-0.02384225245295546,0.0,57,20,289
M1_immune_sensitive,0.28,0.170319108035371,-0.038062283737024305,0.0,57,20,289
M1_immune_sensitive,0.29,0.1655051415761002,-0.05268287928261617,0.0,56,20,289
M1_immune_sensitive,0.3,0.16411270390509144,-0.06772120612951066,0.0,56,20,289
M1_immune_sensitive,0.31,0.16267990572187954,-0.08319542650819928,0.0,56,20,289
M1_immune_sensitive,0.32,0.16120496641563198,-0.09912477101567274,0.0,56,20,289
M1_immune_sensitive,0.33,0.15622579145793522,-0.11552961834426495,0.0,55,20,289
M1_immune_sensitive,0.34,0.15466079479920308,-0.132431582258572,0.0,55,20,289
M1_immune_sensitive,0.35,0.14958743678466863,-0.14985360660101144,0.0,54,20,289
M1_immune_sensitive,0.36,0.14792387543252594,-0.16782006920415227,0.0,54,20,289
M1_immune_sensitive,0.37,0.1462075026088867,-0.1863568956994563,0.0,54,20,289
M1_immune_sensitive,0.38,0.14443576291996874,-0.2054916843397701,0.0,54,20,289
M1_immune_sensitive,0.39,0.13914572579272788,-0.22525384309943847,0.0,53,20,289
M1_immune_sensitive,0.4,0.13725490196078433,-0.24567474048442917,0.0,53,20,289
