task,endpoint,target_sensitivity,achieved_target,threshold,n,n_pos,n_neg,sensitivity,specificity,ppv,npv,f1,accuracy,balanced_accuracy,tn,fp,fn,tp
M1_immune_sensitive,immune_sensitive,0.9,True,0.0004,289,73,216,0.9041095890410958,0.7037037037037037,0.5076923076923077,0.9559748427672956,0.6502463054187192,0.754325259515571,0.8039066463723998,152,64,7,66
M1_immune_sensitive,immune_sensitive,0.95,True,0.0,289,73,216,1.0,0.0,0.25259515570934254,0.0,0.4033149171270718,0.25259515570934254,0.5,0,216,0,73
M1_immune_sensitive,immune_sensitive,0.99,True,0.0,289,73,216,1.0,0.0,0.25259515570934254,0.0,0.4033149171270718,0.25259515570934254,0.5,0,216,0,73
M2_msi,msi,0.9,True,0.0003,289,47,242,0.9148936170212766,0.7644628099173554,0.43,0.9788359788359788,0.5850340136054422,0.7889273356401384,0.8396782134693159,185,57,4,43
M2_msi,msi,0.95,True,0.0,289,47,242,1.0,0.0,0.16262975778546712,0.0,0.2797619047619047,0.16262975778546712,0.5,0,242,0,47
M2_msi,msi,0.99,True,0.0,289,47,242,1.0,0.0,0.16262975778546712,0.0,0.2797619047619047,0.16262975778546712,0.5,0,242,0,47
M3_ebv,ebv,0.9,True,0.0,289,26,263,1.0,0.0,0.08996539792387544,0.0,0.16507936507936508,0.08996539792387544,0.5,0,263,0,26
M3_ebv,ebv,0.95,True,0.0,289,26,263,1.0,0.0,0.08996539792387544,0.0,0.16507936507936508,0.08996539792387544,0.5,0,263,0,26
M3_ebv,ebv,0.99,True,0.0,289,26,263,1.0,0.0,0.08996539792387544,0.0,0.16507936507936508,0.08996539792387544,0.5,0,263,0,26
M5_clinical,clinical_baseline,0.9,True,0.3604,289,73,216,0.9041095890410958,0.24074074074074073,0.28695652173913044,0.8813559322033898,0.43564356435643564,0.4083044982698962,0.5724251648909183,52,164,7,66
M5_clinical,clinical_baseline,0.95,True,0.1842,289,73,216,0.958904109589041,0.09722222222222222,0.2641509433962264,0.875,0.41420118343195267,0.314878892733564,0.5280631659056316,21,195,3,70
M5_clinical,clinical_baseline,0.99,True,0.0201,289,73,216,1.0,0.0,0.25259515570934254,0.0,0.4033149171270718,0.25259515570934254,0.5,0,216,0,73
