group_by,group,model,n,n_pos,n_neg,threshold,roc_auc,pr_auc_average_precision,accuracy,balanced_accuracy,sensitivity,specificity,ppv,npv,f1,brier,confusion_matrix_labels_0_1,tn,fp,fn,tp
site,BR,M1_immune_sensitive,96,27,69,0.5,0.9361245303274288,0.874196474193698,0.8958333333333334,0.8599033816425121,0.7777777777777778,0.9420289855072463,0.84,0.9154929577464789,0.8076923076923077,0.09646651322916666,"[[65, 4], [6, 21]]",65,4,6,21
site,BR,M2_msi,96,17,79,0.5,0.9612807148175726,0.828597888718996,0.8958333333333334,0.8212956068503351,0.7058823529411765,0.9367088607594937,0.7058823529411765,0.9367088607594937,0.7058823529411765,0.08901757510416668,"[[74, 5], [5, 12]]",74,5,5,12
site,BR,M3_ebv,96,10,86,0.5,0.6674418604651162,0.3988636363636363,0.9166666666666666,0.6,0.2,1.0,1.0,0.9148936170212766,0.3333333333333333,0.08279144520833334,"[[86, 0], [8, 2]]",86,0,8,2
site,BR,M5_clinical,96,27,69,0.5,0.5311325818572195,0.3132854065917824,0.5104166666666666,0.47906602254428343,0.4074074074074074,0.5507246376811594,0.2619047619047619,0.7037037037037037,0.3188405797101449,0.24405340760416663,"[[38, 31], [16, 11]]",38,31,16,11
site,CD,M1_immune_sensitive,24,5,19,0.5,0.7368421052631579,0.5833333333333333,0.8333333333333334,0.6,0.2,1.0,1.0,0.8260869565217391,0.3333333333333333,0.14023736333333334,"[[19, 0], [4, 1]]",19,0,4,1
site,CD,M2_msi,24,4,20,0.5,0.7250000000000001,0.5833333333333333,0.9166666666666666,0.75,0.5,1.0,1.0,0.9090909090909091,0.6666666666666666,0.09271365583333331,"[[20, 0], [2, 2]]",20,0,2,2
site,CD,M3_ebv,24,1,23,0.5,1.0,1.0,0.9583333333333334,0.5,0.0,1.0,0.0,0.9583333333333334,0.0,0.01884978333333333,"[[23, 0], [1, 0]]",23,0,1,0
site,CD,M5_clinical,24,5,19,0.5,0.7368421052631579,0.38882352941176473,0.75,0.7684210526315789,0.8,0.7368421052631579,0.4444444444444444,0.9333333333333333,0.5714285714285714,0.2165799495833333,"[[14, 5], [1, 4]]",14,5,1,4
site,CG,M1_immune_sensitive,20,4,16,0.5,0.90625,0.775,0.8,0.5,0.0,1.0,0.0,0.8,0.0,0.15533474549999998,"[[16, 0], [4, 0]]",16,0,4,0
site,CG,M2_msi,20,4,16,0.5,0.796875,0.56875,0.8,0.5,0.0,1.0,0.0,0.8,0.0,0.17952663649999998,"[[16, 0], [4, 0]]",16,0,4,0
site,CG,M3_ebv,20,0,20,0.5,,,1.0,,0.0,1.0,0.0,1.0,0.0,5.834999999999923e-07,"[[20, 0], [0, 0]]",20,0,0,0
site,CG,M5_clinical,20,4,16,0.5,0.625,0.3150735294117647,0.3,0.46875,0.75,0.1875,0.1875,0.75,0.3,0.313271204,"[[3, 13], [1, 3]]",3,13,1,3
site,D7,M1_immune_sensitive,39,8,31,0.5,0.9475806451612903,0.8875,0.8974358974358975,0.75,0.5,1.0,1.0,0.8857142857142857,0.6666666666666666,0.07243406153846155,"[[31, 0], [4, 4]]",31,0,4,4
site,D7,M2_msi,39,3,36,0.5,0.8935185185185185,0.5285714285714286,0.9487179487179487,0.6666666666666666,0.3333333333333333,1.0,1.0,0.9473684210526315,0.5,0.05398343076923077,"[[36, 0], [2, 1]]",36,0,2,1
site,D7,M3_ebv,39,5,34,0.5,0.7823529411764707,0.6512820512820512,0.8717948717948718,0.5,0.0,1.0,0.0,0.8717948717948718,0.0,0.11929463128205128,"[[34, 0], [5, 0]]",34,0,5,0
site,D7,M5_clinical,39,8,31,0.5,0.5645161290322581,0.28932595342957185,0.6153846153846154,0.5262096774193548,0.375,0.6774193548387096,0.23076923076923078,0.8076923076923077,0.2857142857142857,0.2192654066666667,"[[21, 10], [5, 3]]",21,10,5,3
site,FP,M1_immune_sensitive,12,2,10,0.5,0.8500000000000001,0.5,0.8333333333333334,0.5,0.0,1.0,0.0,0.8333333333333334,0.0,0.12824711583333334,"[[10, 0], [2, 0]]",10,0,2,0
site,FP,M2_msi,12,0,12,0.5,,,0.9166666666666666,,0.0,0.9166666666666666,0.0,1.0,0.0,0.07309290083333335,"[[11, 1], [0, 0]]",11,1,0,0
site,FP,M3_ebv,12,2,10,0.5,1.0,1.0,0.9166666666666666,0.75,0.5,1.0,1.0,0.9090909090909091,0.6666666666666666,0.08435548416666666,"[[10, 0], [1, 1]]",10,0,1,1
site,FP,M5_clinical,12,2,10,0.5,0.9,0.5833333333333333,0.8333333333333334,0.7,0.5,0.9,0.5,0.9,0.5,0.13587759500000002,"[[9, 1], [1, 1]]",9,1,1,1
site,HU,M1_immune_sensitive,24,12,12,0.5,0.9409722222222222,0.9275835275835276,0.875,0.875,1.0,0.75,0.8,1.0,0.8888888888888888,0.12800842,"[[9, 3], [0, 12]]",9,3,0,12
