cluster,subtype,n_sampled_patches
0,STAD_CIN,3235
0,STAD_EBV,1225
0,STAD_GS,655
0,STAD_MSI,2257
1,STAD_CIN,3782
1,STAD_EBV,58
1,STAD_GS,1732
1,STAD_MSI,703
2,STAD_CIN,4904
2,STAD_EBV,1174
2,STAD_GS,940
2,STAD_MSI,1284
3,STAD_CIN,3264
3,STAD_EBV,482
3,STAD_GS,648
3,STAD_MSI,2004
4,STAD_CIN,4074
4,STAD_EBV,1060
4,STAD_GS,3364
4,STAD_MSI,957
5,STAD_CIN,981
5,STAD_EBV,236
5,STAD_GS,478
5,STAD_MSI,545
6,STAD_CIN,3479
6,STAD_EBV,1
6,STAD_GS,471
6,STAD_MSI,721
7,STAD_CIN,1881
7,STAD_EBV,364
7,STAD_GS,1712
7,STAD_MSI,529
