task,bin,mean_predicted,fraction_positive
TCGA M1,1,0.0,0.04938271604938271
TCGA M1,2,9.999999999999999e-05,0.0
TCGA M1,3,0.00023333333333333336,0.0
TCGA M1,4,0.0007736842105263157,0.21052631578947367
TCGA M1,5,0.014043478260869569,0.13043478260869565
TCGA M1,6,0.3426521739130435,0.5652173913043478
TCGA M1,7,0.9615826086956523,0.6956521739130435
TCGA M1,8,0.9998652173913046,0.9565217391304348
TCGA M2,1,0.0,0.0
TCGA M2,2,0.00010000000000000003,0.05555555555555555
TCGA M2,3,0.00020000000000000004,0.125
TCGA M2,4,0.0006782608695652174,0.0
TCGA M2,5,0.01861739130434783,0.21739130434782608
TCGA M2,6,0.2841347826086956,0.21739130434782608
TCGA M2,7,0.6617217391304347,0.43478260869565216
TCGA M2,8,0.9912565217391307,0.7391304347826086
TCGA M3,1,0.0,0.03977272727272727
TCGA M3,2,0.00010000000000000003,0.05263157894736842
TCGA M3,3,0.0005769230769230769,0.15384615384615385
TCGA M3,4,0.2579913043478261,0.5652173913043478
CPTAC M1,1,2.162472745936586e-05,0.0
CPTAC M1,2,0.00030887203678819653,0.125
CPTAC M1,3,0.00174247327707766,0.0
CPTAC M1,4,0.00920927415457477,0.0625
CPTAC M1,5,0.04156223759472588,0.13333333333333333
CPTAC M1,6,0.1932766256378921,0.0625
CPTAC M1,7,0.40605289190884525,0.13333333333333333
CPTAC M1,8,0.7018237418531271,0.6875
CPTAC M1,9,0.8976177987497713,0.6
CPTAC M1,10,0.9980914963409305,0.9375
CPTAC M2,1,1.926447169238917e-06,0.125
CPTAC M2,2,1.5434961446292306e-05,0.0625
CPTAC M2,3,0.00015952834411143285,0.0
CPTAC M2,4,0.0011396082712609376,0.0
CPTAC M2,5,0.006416289083692006,0.06666666666666667
CPTAC M2,6,0.050079356101460644,0.125
CPTAC M2,7,0.19846998600219687,0.13333333333333333
CPTAC M2,8,0.46349289631914675,0.25
CPTAC M2,9,0.7555658521009414,0.4666666666666667
CPTAC M2,10,0.9883311364799737,0.6875
CPTAC M3,1,6.006354104035975e-07,0.0
CPTAC M3,2,4.7281546597647656e-06,0.0
CPTAC M3,3,1.836639463543773e-05,0.06666666666666667
CPTAC M3,4,5.781939994323667e-05,0.0
CPTAC M3,5,0.00015930870902561273,0.06666666666666667
CPTAC M3,6,0.0005438795034572375,0.0
CPTAC M3,7,0.0018885076585945931,0.06666666666666667
CPTAC M3,8,0.009043913704714537,0.0
CPTAC M3,9,0.0777707123240785,0.13333333333333333
CPTAC M3,10,0.4959306726487587,0.5
