cohort,task,n_patients,capacity_fraction,immediate_tests,deferred_tests,positives_total,positives_detected,positives_missed,positive_coverage,immediate_tests_per_100,deferred_tests_per_100,detected_per_100,missed_per_100
CPTAC,joint_MSI_or_EBV_by_M1,156,0.05,8,148,43,8,35,0.18604651162790697,5.128205128205129,94.87179487179488,5.128205128205129,22.435897435897434
CPTAC,joint_MSI_or_EBV_by_M1,156,0.1,16,140,43,15,28,0.3488372093023256,10.256410256410257,89.74358974358974,9.615384615384615,17.94871794871795
CPTAC,joint_MSI_or_EBV_by_M1,156,0.15,24,132,43,20,23,0.46511627906976744,15.384615384615385,84.61538461538461,12.820512820512821,14.743589743589743
CPTAC,joint_MSI_or_EBV_by_M1,156,0.2,32,124,43,25,18,0.5813953488372093,20.512820512820515,79.48717948717949,16.025641025641026,11.538461538461538
CPTAC,joint_MSI_or_EBV_by_M1,156,0.25,39,117,43,29,14,0.6744186046511628,25.0,75.0,18.58974358974359,8.974358974358974
CPTAC,joint_MSI_or_EBV_by_M1,156,0.3,47,109,43,35,8,0.813953488372093,30.128205128205128,69.87179487179488,22.435897435897434,5.128205128205129
CPTAC,joint_MSI_or_EBV_by_M1,156,0.4,63,93,43,37,6,0.8604651162790697,40.38461538461539,59.61538461538461,23.71794871794872,3.8461538461538463
CPTAC,joint_MSI_or_EBV_by_M1,156,0.5,78,78,43,38,5,0.8837209302325582,50.0,50.0,24.358974358974358,3.2051282051282053
CPTAC,joint_MSI_or_EBV_by_M1,156,0.75,117,39,43,41,2,0.9534883720930233,75.0,25.0,26.28205128205128,1.2820512820512822
CPTAC,joint_MSI_or_EBV_by_M1,156,1.0,156,0,43,43,0,1.0,100.0,0.0,27.564102564102566,0.0
CPTAC,MSI_by_M2,156,0.05,8,148,30,6,24,0.2,5.128205128205129,94.87179487179488,3.8461538461538463,15.384615384615385
CPTAC,MSI_by_M2,156,0.1,16,140,30,11,19,0.36666666666666664,10.256410256410257,89.74358974358974,7.051282051282051,12.179487179487179
CPTAC,MSI_by_M2,156,0.15,24,132,30,16,14,0.5333333333333333,15.384615384615385,84.61538461538461,10.256410256410257,8.974358974358974
CPTAC,MSI_by_M2,156,0.2,32,124,30,18,12,0.6,20.512820512820515,79.48717948717949,11.538461538461538,7.6923076923076925
CPTAC,MSI_by_M2,156,0.25,39,117,30,19,11,0.6333333333333333,25.0,75.0,12.179487179487179,7.051282051282051
CPTAC,MSI_by_M2,156,0.3,47,109,30,22,8,0.7333333333333333,30.128205128205128,69.87179487179488,14.102564102564102,5.128205128205129
CPTAC,MSI_by_M2,156,0.4,63,93,30,24,6,0.8,40.38461538461539,59.61538461538461,15.384615384615385,3.8461538461538463
CPTAC,MSI_by_M2,156,0.5,78,78,30,26,4,0.8666666666666667,50.0,50.0,16.666666666666668,2.5641025641025643
CPTAC,MSI_by_M2,156,0.75,117,39,30,27,3,0.9,75.0,25.0,17.307692307692307,1.9230769230769231
CPTAC,MSI_by_M2,156,1.0,156,0,30,30,0,1.0,100.0,0.0,19.23076923076923,0.0
CPTAC,EBV_by_M3,156,0.05,8,148,13,5,8,0.38461538461538464,5.128205128205129,94.87179487179488,3.2051282051282053,5.128205128205129
CPTAC,EBV_by_M3,156,0.1,16,140,13,8,5,0.6153846153846154,10.256410256410257,89.74358974358974,5.128205128205129,3.2051282051282053
CPTAC,EBV_by_M3,156,0.15,24,132,13,10,3,0.7692307692307693,15.384615384615385,84.61538461538461,6.410256410256411,1.9230769230769231
CPTAC,EBV_by_M3,156,0.2,32,124,13,10,3,0.7692307692307693,20.512820512820515,79.48717948717949,6.410256410256411,1.9230769230769231
CPTAC,EBV_by_M3,156,0.25,39,117,13,10,3,0.7692307692307693,25.0,75.0,6.410256410256411,1.9230769230769231
CPTAC,EBV_by_M3,156,0.3,47,109,13,10,3,0.7692307692307693,30.128205128205128,69.87179487179488,6.410256410256411,1.9230769230769231
CPTAC,EBV_by_M3,156,0.4,63,93,13,11,2,0.8461538461538461,40.38461538461539,59.61538461538461,7.051282051282051,1.2820512820512822
CPTAC,EBV_by_M3,156,0.5,78,78,13,11,2,0.8461538461538461,50.0,50.0,7.051282051282051,1.2820512820512822
CPTAC,EBV_by_M3,156,0.75,117,39,13,13,0,1.0,75.0,25.0,8.333333333333334,0.0
CPTAC,EBV_by_M3,156,1.0,156,0,13,13,0,1.0,100.0,0.0,8.333333333333334,0.0
